                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5615,                   1.12,                 1.1915,                0.87611,                0.90526,                0.90573,                0.47956,                 1.2438,                 1.2589,                 1.0855,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.4561,                 1.0145,                 1.1384,                0.85929,                    0.9,                0.91518,                0.49168,                 1.2592,                 1.1706,                 1.1068,               0.000614,               0.000614,               0.000614
                     37,                 1.4728,                 1.0046,                 1.1463,                0.84298,                0.91579,                0.91415,                0.49728,                 1.2641,                 1.3045,                  1.126,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.4845,                0.98579,                  1.153,                0.86158,                0.91733,                0.90726,                 0.4975,                 1.2106,                 1.3214,                 1.0851,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.5209,                0.99994,                 1.1714,                0.85599,                0.87596,                 0.9082,                0.48673,                 1.3018,                 1.1841,                   1.15,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.4857,                0.98919,                 1.1457,                0.88116,                0.92632,                0.91586,                0.50169,                  1.219,                  1.232,                 1.0857,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.2905,                0.91249,                 1.1244,                0.86866,                0.90508,                0.90545,                0.50572,                 1.2401,                 1.3342,                 1.0818,               0.000416,               0.000416,               0.000416
                     42,                 1.2712,                0.88517,                 1.1375,                0.84638,                0.85263,                0.91389,                0.49908,                 1.2647,                  1.398,                 1.1124,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.3126,                0.92866,                 1.1253,                0.87086,                0.91579,                0.92026,                0.50423,                 1.2142,                 1.3147,                 1.0781,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.3458,                0.84737,                 1.1788,                0.89335,                0.93684,                0.93028,                0.51067,                  1.196,                 1.3158,                 1.0621,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.3031,                0.86648,                 1.1423,                0.89497,                0.93684,                0.93285,                0.51695,                 1.1984,                 1.3203,                 1.0737,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.3237,                0.81859,                 1.1503,                0.88968,                0.92632,                0.93162,                0.51607,                 1.2153,                 1.3138,                 1.0785,               0.000218,               0.000218,               0.000218
                     47,                 1.2645,                 0.8442,                 1.0943,                 0.8781,                0.93684,                0.92711,                0.51405,                 1.1934,                 1.2393,                 1.0623,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.2726,                0.84864,                 1.1294,                0.88311,                0.92632,                0.92796,                0.50664,                 1.2219,                 1.3443,                 1.0825,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.2781,                  0.847,                 1.1372,                0.88227,                 0.9466,                0.92743,                0.51707,                 1.2042,                 1.3764,                 1.0824,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.2713,                0.85142,                 1.1391,                0.88095,                0.93474,                0.92993,                0.51454,                 1.1977,                 1.3652,                 1.0716,               5.96e-05,               5.96e-05,               5.96e-05
