                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.93227,                0.43077,                 1.0539,                0.99794,                      1,                  0.995,                0.73679,                0.96513,                0.39656,                 1.2162,              0.0007724,              0.0007724,              0.0007724
                     33,                0.91556,                0.41985,                 1.0944,                0.99881,                      1,                  0.995,                0.74247,                0.95874,                0.41609,                 1.1936,              0.0007328,              0.0007328,              0.0007328
                     34,                 0.8557,                0.40819,                 1.0596,                0.99625,                      1,                  0.995,                0.74226,                 0.9862,                0.36526,                 1.1891,              0.0006932,              0.0006932,              0.0006932
                     35,                0.90746,                0.43391,                 1.0664,                0.99789,                      1,                  0.995,                0.75243,                0.96318,                0.35061,                  1.166,              0.0006536,              0.0006536,              0.0006536
                     36,                0.90849,                0.42717,                 1.1016,                0.99788,                      1,                  0.995,                0.75334,                0.93671,                0.35582,                 1.1644,               0.000614,               0.000614,               0.000614
                     37,                0.86397,                0.38759,                 1.0461,                0.99794,                      1,                  0.995,                0.76558,                0.93424,                 0.3514,                 1.1683,              0.0005744,              0.0005744,              0.0005744
                     38,                0.88429,                 0.3971,                  1.045,                0.99817,                      1,                  0.995,                0.75601,                0.93876,                0.33615,                 1.1701,              0.0005348,              0.0005348,              0.0005348
                     39,                0.86184,                0.41552,                 1.0835,                0.99831,                      1,                  0.995,                0.77233,                0.91445,                0.32441,                 1.1576,              0.0004952,              0.0004952,              0.0004952
                     40,                0.84649,                0.37886,                 1.0388,                0.99833,                      1,                  0.995,                0.77363,                0.89484,                0.32333,                 1.1511,              0.0004556,              0.0004556,              0.0004556
                     41,                0.81889,                 0.3598,                 1.0966,                0.99821,                      1,                  0.995,                0.76736,                0.89829,                0.32981,                 1.1489,               0.000416,               0.000416,               0.000416
                     42,                0.78846,                0.32756,                 1.0373,                0.99849,                      1,                  0.995,                0.75579,                0.91284,                0.33506,                  1.164,              0.0003764,              0.0003764,              0.0003764
                     43,                0.82362,                0.35455,                 1.0886,                0.99862,                      1,                  0.995,                0.76534,                0.90032,                0.32887,                 1.1571,              0.0003368,              0.0003368,              0.0003368
                     44,                0.79602,                0.33599,                 1.0935,                0.99872,                      1,                  0.995,                0.77313,                0.89412,                0.31448,                 1.1548,              0.0002972,              0.0002972,              0.0002972
                     45,                0.81755,                0.33103,                  1.131,                0.99875,                      1,                  0.995,                0.77191,                0.89444,                0.31812,                 1.1561,              0.0002576,              0.0002576,              0.0002576
                     46,                0.79218,                0.33247,                 1.0923,                0.99884,                      1,                  0.995,                0.77681,                0.89397,                0.31136,                 1.1497,               0.000218,               0.000218,               0.000218
                     47,                0.79224,                0.31891,                 1.0877,                0.99881,                      1,                  0.995,                0.77621,                0.90942,                0.31376,                 1.1548,              0.0001784,              0.0001784,              0.0001784
                     48,                0.74546,                0.31102,                 1.0356,                 0.9988,                      1,                  0.995,                0.77876,                0.90556,                0.30928,                 1.1528,              0.0001388,              0.0001388,              0.0001388
                     49,                0.80333,                0.32956,                 1.1101,                0.99876,                      1,                  0.995,                0.77968,                0.90358,                0.30639,                 1.1512,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.76707,                0.32103,                 1.0849,                0.99879,                      1,                  0.995,                0.78373,                 0.9006,                0.30689,                 1.1489,               5.96e-05,               5.96e-05,               5.96e-05
