                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.85114,                0.40213,                 1.0687,                0.98195,                0.96575,                0.98989,                0.75202,                0.90871,                 0.3762,                 1.1311,               0.000614,               0.000614,               0.000614
                     37,                0.87987,                0.40317,                 1.0663,                0.98021,                0.96918,                0.99099,                0.75888,                0.88847,                0.36437,                 1.1226,              0.0005744,              0.0005744,              0.0005744
                     38,                0.85434,                0.39477,                 1.0608,                 0.9782,                0.97336,                0.99149,                0.76752,                0.88628,                0.35357,                 1.1192,              0.0005348,              0.0005348,              0.0005348
                     39,                0.84183,                0.38772,                 1.0559,                0.97826,                0.97603,                0.99123,                0.77275,                0.87464,                0.35059,                 1.1121,              0.0004952,              0.0004952,              0.0004952
                     40,                0.84046,                0.38806,                 1.0559,                0.98276,                0.97586,                0.99172,                 0.7639,                0.89315,                0.35382,                 1.1209,              0.0004556,              0.0004556,              0.0004556
                     41,                0.85518,                0.39862,                 1.1084,                0.98381,                0.97115,                0.99062,                0.76263,                0.90056,                0.35512,                 1.1231,               0.000416,               0.000416,               0.000416
                     42,                0.83833,                0.36544,                 1.1016,                 0.9804,                0.97049,                0.98938,                0.76225,                0.88066,                0.35055,                 1.1133,              0.0003764,              0.0003764,              0.0003764
                     43,                0.84359,                0.36213,                 1.0778,                0.97417,                0.97603,                0.98865,                0.76308,                0.86976,                 0.3509,                 1.1126,              0.0003368,              0.0003368,              0.0003368
                     44,                0.83581,                0.36121,                 1.0787,                0.97213,                 0.9726,                0.98838,                0.76434,                0.87633,                0.35384,                 1.1115,              0.0002972,              0.0002972,              0.0002972
                     45,                0.82602,                0.35848,                 1.0885,                0.97559,                0.97032,                0.98865,                0.76696,                0.88115,                0.35378,                 1.1127,              0.0002576,              0.0002576,              0.0002576
                     46,                0.80696,                0.35507,                 1.0772,                0.97224,                0.97489,                0.98761,                 0.7705,                0.87541,                0.35075,                 1.1104,               0.000218,               0.000218,               0.000218
                     47,                0.81864,                0.34765,                 1.0728,                 0.9737,                0.97489,                0.98879,                0.77068,                0.87718,                0.34703,                 1.1145,              0.0001784,              0.0001784,              0.0001784
                     48,                  0.811,                0.35158,                 1.0765,                0.97294,                0.97489,                0.98927,                0.77263,                0.87537,                0.34639,                 1.1147,              0.0001388,              0.0001388,              0.0001388
                     49,                0.80908,                0.34439,                 1.0526,                0.98215,                0.96461,                0.98886,                0.77131,                0.87319,                0.34516,                  1.114,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 0.7892,                0.33319,                 1.0568,                0.98286,                0.96461,                0.98596,                0.77235,                0.87322,                0.34545,                 1.1142,               5.96e-05,               5.96e-05,               5.96e-05
